OPEID,INSTNM,CITY,STABBR,ZIP,INSTURL,REGION,LOCALE,ADM_RATE,COSTT4_A
00241500,Mississippi College,Clinton,MS,39058,www.mc.edu/,5,21.0,0.49,35853.0
02302800,Hatfield's Mississippi College of Beauty Culture,Laurel,MS,39440,hatfieldsinc.com/,5,32.0,,
00241700,Mississippi Gulf Coast Community College,Perkinston,MS,39573,https://www.mgccc.edu/,5,42.0,,13931.0
00242300,Mississippi State University,Mississippi State,MS,39762,https://www.msstate.edu/,5,33.0,0.7612,25795.0
00242600,Northeast Mississippi Community College,Booneville,MS,38829,www.nemcc.edu/,5,33.0,,13198.0
00242700,Northwest Mississippi Community College,Senatobia,MS,38668-1714,www.northwestms.edu/,5,32.0,,11781.0
00243000,Pearl River Community College,Poplarville,MS,39470,www.prcc.edu/,5,43.0,,11917.0
00243300,Rust College,Holly Springs,MS,38635,www.rustcollege.edu/,5,32.0,0.376,16700.0
00243500,Southeastern Baptist College,Laurel,MS,39440-9989,https://www.southeasternbaptist.edu/,5,32.0,,11264.0
00243600,Southwest Mississippi Community College,Summit,MS,39666-0000,https://www.smcc.edu/,5,33.0,,11009.0
00244100,University of Southern Mississippi,Hattiesburg,MS,39406-0001,https://www.usm.edu/,5,13.0,0.9579,24119.0
00243900,Tougaloo College,Tougaloo,MS,39174,www.tougaloo.edu/,5,12.0,0.5581,17173.0
04282400,Vaughn Beauty College,Aberdeen,MS,39730-3238,vaughnbeauty.com/,5,33.0,,
02516200,Wesley Biblical Seminary,Ridgeland,MS,39157-1920,https://www.wbs.edu/,5,21.0,,
00244700,William Carey University,Hattiesburg,MS,39401,https://www.wmcarey.edu/,5,13.0,0.5745,23738.0
00163200,Aquinas Institute of Theology,Saint Louis,MO,63108-3323,www.ai.edu/,4,11.0,,
00244900,Avila University,Kansas City,MO,64145-1698,https://www.avila.edu/,4,11.0,0.68,31636.0
01320800,Baptist Bible College,Springfield,MO,65803-3498,www.gobbc.edu/,4,12.0,,25648.0
02277500,House of Heavilin Beauty College-Blue Springs,Blue Springs,MO,64014,kc-hair.com/,4,21.0,,
02068200,Cox College,Springfield,MO,65802-1917,https://coxcollege.edu/,4,12.0,0.3939,27314.0
00245000,Calvary University,Kansas City,MO,64147-1341,www.calvary.edu/,4,11.0,0.593,19191.0
00553200,Cape Girardeau Career and Technology Center,Cape Girardeau,MO,63703-7511,www.capectc.org/,4,13.0,,
02266400,Central Christian College of the Bible,Moberly,MO,65270-1997,www.cccb.edu/,4,32.0,,19890.0
00245300,Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,www.centralmethodist.edu/,4,32.0,0.9896,41884.0
00245400,University of Central Missouri,Warrensburg,MO,64093,https://www.ucmo.edu/,4,32.0,0.7578,20098.0
